Second television	we	2.40	1.20	0.70	0.60	0.70	1.30	2.10	2.45	3.35	3.20	3.20	3.84	3.84	4.00	4.80	6.39	7.99	7.99	7.99	9.59	7.99	6.39	4.80	3.20
Second television	wd	3.40	1.94	0.87	0.77	0.87	0.97	0.97	1.46	2.43	3.40	3.88	4.85	4.85	5.93	6.13	6.80	6.80	6.80	7.77	8.25	6.80	5.34	4.85	3.88
Radio/player	we	2.40	1.20	0.70	0.60	0.70	1.30	2.10	2.45	3.35	3.20	3.20	3.84	3.84	4.00	4.80	6.39	7.99	7.99	7.99	9.59	7.99	6.39	4.80	3.20
Radio/player	wd	3.40	1.94	0.87	0.77	0.87	0.97	0.97	1.46	2.43	3.40	3.88	4.85	4.85	5.93	6.13	6.80	6.80	6.80	7.77	8.25	6.80	5.34	4.85	3.88
Personal computer	we	2.40	1.20	0.70	0.60	0.70	1.30	2.10	2.45	3.35	3.20	3.20	3.84	3.84	4.00	4.80	6.39	7.99	7.99	7.99	9.59	7.99	6.39	4.80	3.20
Personal computer	wd	3.40	1.94	0.87	0.77	0.87	0.97	0.97	1.46	2.43	3.40	3.88	4.85	4.85	5.93	6.13	6.80	6.80	6.80	7.77	8.25	6.80	5.34	4.85	3.88
Printer	we	2.40	1.20	0.70	0.60	0.70	1.30	2.10	2.45	3.35	3.20	3.20	3.84	3.84	4.00	4.80	6.39	7.99	7.99	7.99	9.59	7.99	6.39	4.80	3.20
Printer	wd	3.40	1.94	0.87	0.77	0.87	0.97	0.97	1.46	2.43	3.40	3.88	4.85	4.85	5.93	6.13	6.80	6.80	6.80	7.77	8.25	6.80	5.34	4.85	3.88
Lighting	we	1.03	0.33	0.33	0.83	1.78	2.64	3.56	3.74	3.44	3.04	3.04	3.24	3.94	4.14	4.55	4.96	5.79	6.70	8.21	9.11	9.81	8.50	4.32	2.96
Lighting	wd	2.55	1.33	1.23	1.23	1.33	1.53	2.13	4.05	5.07	4.99	4.27	3.82	3.57	4.27	4.97	5.50	6.02	6.69	7.34	7.56	6.64	6.17	4.49	3.22
Other occasional loads	we	1.03	0.83	0.83	0.83	1.03	2.04	3.06	3.24	3.44	3.54	3.64	3.74	3.94	4.14	4.55	4.96	5.79	6.70	7.71	8.51	9.01	8.10	5.67	3.66
Other occasional loads	wd	2.55	1.33	1.23	1.23	1.33	1.73	2.13	3.55	4.07	3.99	3.77	3.97	4.07	4.47	4.97	6.00	6.32	6.84	7.34	7.56	6.79	6.67	4.84	3.22
Central air conditioner	we	2.4	1.2	1.2	0.7	0.4	0	0	0.4	2	4.5	6.5	7	7	7.4	7.8	8	8	8	7.5	7	5	3	2.6	2.4
Central air conditioner	wd	2.4	1.2	1.2	0.7	0.4	0.4	0.4	0.4	0.7	0.8	0.8	0.8	2.4	6.6	9.4	10.8	11.4	11.5	10.5	9.2	7	5	3.6	2.4
Window air conditioner	we	2.4	1.2	1.2	0.7	0.4	0	0	0.4	2	4.5	6.5	7	7	7.4	7.8	8	8	8	7.5	7	5	3	2.6	2.4
Window air conditioner	wd	3.4	3.4	3.4	3.4	3.4	3.4	3.2	3	2.4	0.8	0	0	0	0	2.4	9.7	10.8	10.5	10	8	6.15	4.7	4.17	3.78
